Id,SalePrice
1461,131500
1462,345000
1463,142600
1464,135000
1465,55000
1466,127500
1467,160000
1468,119900
1469,135000
1470,137000
1471,153500
1472,118000
1473,118000
1474,146000
1475,146000
1476,238000
1477,118000
1478,148000
1479,345000
1480,197000
1481,197000
1482,118000
1483,475000
1484,55000
1485,110000
1486,119900
1487,239000
1488,137000
1489,139000
1490,135000
1491,112000
1492,137000
1493,245500
1494,148000
1495,281000
1496,153500
1497,55000
1498,151000
1499,147400
1500,147400
1501,160000
1502,160000
1503,150900
1504,133900
1505,137000
1506,119000
1507,106250
1508,223500
1509,137000
1510,137000
1511,135000
1512,135000
1513,119000
1514,325000
1515,137000
1516,176000
1517,222500
1518,137000
1519,137000
1520,160000
1521,120000
1522,135000
1523,129000
1524,200000
1525,125000
1526,132000
1527,119900
1528,129000
1529,140000
1530,137000
1531,55000
1532,55000
1533,135900
1534,118000
1535,110000
1536,160000
1537,137000
1538,129000
1539,129000
1540,160000
1541,145000
1542,135900
1543,160000
1544,55000
1545,93000
1546,93000
1547,93000
1548,93000
1549,93000
1550,93000
1551,93000
1552,129000
1553,108959
1554,55000
1555,197000
1556,139000
1557,129000
1558,84500
1559,160000
1560,84500
1561,120000
1562,119900
1563,119900
1564,160000
1565,199900
1566,223500
1567,139000
1568,223500
1569,149900
1570,265979
1571,129000
1572,137000
1573,239000
1574,230500
1575,118500
1576,148000
1577,133900
1578,345000
1579,171000
1580,160000
1581,245500
1582,133900
1583,135000
1584,137000
1585,160000
1586,119900
1587,137000
1588,127500
1589,148000
1590,84500
1591,84500
1592,55000
1593,160000
1594,133900
1595,129000
1596,135000
1597,345000
1598,239000
1599,55000
1600,55000
1601,129000
1602,129000
1603,119900
1604,55000
1605,110000
1606,137000
1607,174000
1608,148000
1609,137000
1610,137000
1611,90000
1612,135000
1613,261500
1614,125000
1615,80000
1616,81000
1617,81000
1618,118000
1619,345000
1620,140000
1621,145000
1622,139000
1623,137000
1624,142600
1625,142600
1626,135000
1627,135000
1628,261500
1629,129000
1630,270000
1631,133900
1632,129000
1633,129000
1634,133900
1635,160000
1636,133900
1637,148000
1638,174000
1639,125000
1640,174000
1641,171000
1642,107500
1643,160000
1644,160000
1645,160000
1646,135000
1647,110000
1648,160000
1649,160000
1650,107500
1651,129000
1652,118000
1653,118000
1654,147000
1655,146000
1656,125000
1657,125000
1658,125000
1659,160000
1660,120000
1661,197000
1662,118000
1663,118000
1664,197000
1665,200000
1666,235000
1667,239000
1668,135000
1669,125000
1670,197000
1671,148000
1672,197000
1673,200000
1674,137000
1675,118000
1676,55000
1677,135000
1678,197000
1679,197000
1680,118000
1681,93000
1682,235000
1683,55000
1684,200000
1685,129000
1686,55000
1687,129000
1688,129000
1689,122000
1690,160000
1691,160000
1692,174000
1693,129000
1694,129000
1695,129000
1696,190000
1697,119900
1698,238000
1699,120000
1700,137000
1701,158900
1702,230500
1703,135000
1704,135000
1705,137000
1706,110000
1707,135000
1708,137000
1709,238000
1710,140000
1711,135000
1712,119900
1713,135000
1714,137000
1715,119900
1716,137000
1717,133900
1718,133900
1719,135000
1720,135000
1721,177000
1722,177000
1723,80000
1724,133900
1725,239686
1726,140000
1727,118000
1728,137000
1729,145000
1730,137000
1731,119900
1732,160000
1733,160000
1734,160000
1735,160000
1736,133900
1737,190000
1738,158000
1739,173733
1740,160000
1741,160000
1742,55000
1743,55000
1744,169000
1745,197000
1746,137000
1747,174000
1748,135000
1749,137000
1750,137000
1751,174000
1752,133900
1753,137000
1754,137000
1755,340000
1756,133900
1757,119900
1758,160000
1759,174000
1760,135000
1761,95000
1762,160000
1763,110000
1764,137000
1765,135000
1766,135000
1767,345000
1768,137000
1769,174000
1770,119900
1771,137000
1772,137000
1773,135000
1774,137000
1775,129000
1776,110000
1777,137000
1778,133900
1779,137000
1780,214900
1781,129000
1782,55000
1783,106250
1784,137000
1785,122000
1786,140000
1787,133900
1788,135000
1789,106250
1790,106250
1791,137000
1792,135000
1793,222500
1794,129000
1795,135000
1796,137000
1797,129000
1798,140000
1799,133900
1800,137000
1801,106250
1802,129000
1803,140000
1804,137000
1805,137000
1806,55000
1807,140000
1808,157000
1809,135000
1810,84500
1811,133900
1812,122000
1813,93000
1814,133900
1815,93000
1816,129000
1817,129000
1818,137000
1819,55000
1820,160000
1821,55000
1822,129000
1823,137000
1824,160000
1825,55000
1826,84500
1827,93000
1828,93000
1829,129000
1830,129000
1831,137000
1832,55000
1833,84500
1834,160000
1835,93000
1836,55000
1837,135000
1838,140000
1839,55000
1840,106250
1841,119000
1842,129000
1843,131500
1844,160000
1845,157000
1846,157000
1847,190000
1848,160000
1849,190000
1850,137000
1851,129000
1852,133900
1853,55000
1854,120000
1855,239000
1856,135000
1857,625000
1858,107500
1859,107500
1860,107500
1861,107500
1862,261500
1863,160000
1864,160000
1865,125000
1866,106250
1867,137000
1868,222500
1869,84500
1870,135000
1871,131500
1872,131500
1873,223500
1874,119900
1875,265979
1876,137000
1877,120000
1878,172500
1879,340000
1880,107500
1881,148000
1882,174000
1883,137000
1884,255900
1885,157000
1886,174000
1887,137000
1888,135000
1889,110000
1890,120000
1891,55000
1892,84500
1893,112000
1894,125000
1895,112000
1896,129000
1897,84500
1898,135900
1899,119900
1900,118000
1901,108959
1902,345000
1903,160000
1904,137000
1905,148000
1906,345000
1907,475000
1908,118000
1909,75500
1910,91000
1911,174000
1912,223500
1913,129000
1914,122000
1915,55000
1916,755000
1917,122000
1918,137000
1919,137000
1920,171000
1921,309000
1922,345000
1923,160000
1924,277000
1925,137000
1926,148000
1927,345000
1928,345000
1929,118000
1930,133900
1931,140000
1932,145000
1933,139000
1934,137000
1935,119900
1936,129000
1937,190000
1938,150900
1939,93000
1940,55000
1941,172500
1942,174000
1943,84500
1944,197000
1945,150900
1946,235000
1947,129000
1948,240000
1949,177000
1950,106250
1951,239000
1952,90000
1953,148000
1954,135000
1955,137000
1956,174000
1957,135000
1958,277000
1959,129000
1960,140000
1961,133900
1962,118000
1963,81000
1964,118000
1965,147000
1966,130000
1967,325000
1968,197000
1969,197000
1970,309000
1971,118000
1972,354000
1973,137000
1974,135000
1975,238000
1976,125000
1977,235000
1978,342643
1979,127500
1980,169900
1981,135000
1982,93000
1983,93000
1984,55000
1985,160000
1986,160000
1987,55000
1988,137000
1989,160000
1990,160000
1991,118000
1992,137000
1993,160000
1994,195000
1995,137000
1996,145000
1997,248000
1998,158900
1999,340000
2000,158000
2001,135000
2002,142600
2003,137000
2004,137000
2005,135000
2006,137000
2007,135000
2008,133900
2009,127500
2010,110000
2011,177000
2012,137000
2013,119900
2014,129000
2015,187500
2016,119900
2017,137000
2018,137000
2019,137000
2020,119900
2021,84500
2022,475000
2023,120000
2024,160000
2025,340000
2026,55000
2027,144152
2028,144152
2029,146000
2030,160000
2031,160000
2032,55000
2033,55000
2034,160000
2035,135000
2036,172500
2037,172500
2038,55000
2039,133500
2040,235000
2041,342643
2042,160000
2043,172000
2044,110000
2045,190000
2046,137000
2047,137000
2048,119900
2049,171000
2050,174000
2051,137000
2052,135000
2053,146800
2054,55000
2055,137000
2056,137000
2057,133900
2058,157000
2059,137000
2060,145000
2061,148000
2062,139000
2063,80000
2064,160000
2065,174000
2066,200000
2067,137000
2068,231500
2069,122000
2070,118000
2071,55000
2072,106250
2073,135000
2074,222500
2075,174000
2076,133900
2077,137000
2078,137000
2079,129000
2080,84500
2081,133900
2082,160000
2083,133900
2084,133900
2085,140000
2086,129000
2087,129000
2088,55000
2089,55000
2090,84500
2091,177000
2092,133900
2093,140000
2094,55000
2095,106250
2096,84500
2097,93000
2098,137000
2099,133900
2100,336000
2101,137000
2102,55000
2103,137000
2104,129000
2105,84500
2106,122500
2107,106250
2108,119900
2109,129000
2110,118000
2111,160000
2112,160000
2113,55000
2114,84500
2115,93000
2116,93000
2117,93000
2118,93000
2119,55000
2120,55000
2121,160000
2122,93000
2123,160000
2124,93000
2125,93000
2126,129000
2127,129000
2128,55000
2129,160000
2130,140000
2131,84500
2132,145000
2133,133900
2134,107500
2135,140000
2136,140000
2137,145000
2138,255900
2139,345000
2140,140000
2141,160000
2142,145000
2143,160000
2144,108959
